x,Func1,Func2,Func3,Func4,Func5,Func6
0.0,0.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999973,0.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,0.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999993,0.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999982,0.99999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,0.999999999999999999999999999999999999999999999999999999999999999999999999999999999999999956
0.00222334936559787207251425575603644931648773488986207064470979801295669950904898018303470264,0.941707199595080664321566272357953553264105763728011407661068937348121231109119613607975903,0.406198542622682688284699947048767197422402772936905146840573579033407122947377038962475049,0.740592745570606072158833096565421325881813860695591312336850011630995146184370247671173921,0.258885389575458076427429492915310813075404561747617146488986095317308279890786733345930087,0.472007211586430896983296623255116243334650713482860867217650445471182868721306408241681009,0.990039787900062772783732390635396296267395930358440467937842459398930609342412512998118027
0.00444669873119574414502851151207289863297546977972414128941959602591339901809796036606940527,0.786436321065665999833211415824018808415153644918616172284812799913502813378893045422158445,0.0272240944970305283142966032875665725456990082066167948797070573899479837295140977983049845,0.300827693927711426303316594495856171835958784832919366052046849673227963208768519060383942,0.00449190088987855615086241956925007335727892091679629387248914490884998320216815322206685486,0.0496357440355414875198010980196489703792082167547807374428959822488770495043968789787988232,0.960750443948264021384788275881316937786592470791395412982752497128713559850963681356977222
0.00667004809679361621754276726810934794946320466958621193412939403887009852714694054910410791,0.582429034234468248235970230965605564818718935912093616903563604918939948016838027971133434,0.000301054586527511106644408084252458453419526528468048556836274563507719350328914345376505344,0.0670216449356366972693656268124632512179615468833884101812043639872405008574760373428234553,0.0000052235754491305001442251890969470827918016751760786953105891043236174477180539109064034409,0.0011628875118105568174665328914863960384285592781861071776872521803528888125814504889845078,0.913847727270914118942521571678811387411454398207230283347889804064734452118937407486886343
0.00889339746239148829005702302414579726595093955944828257883919205182679803619592073213881055,0.38252009205280952684073296848491652579141577897452657691161891479283902786005397494856238,0.000000549305280891673879096244635335574990443620062718099629372873276552861418123314228286450433,0.00818976156681179271901748990379702386701539960638977599646140427192250361737082772903792161,0.000000000407118334665799189519070975415547087558376735908981645238236793192845323397464179725361948,0.0000060698526054183464951249601164148002604264430145828959613595900038918023508553181289594991,0.852005454814615223219668587540286137125896092987722777494464737923335384328811974426496123
0.0111167468279893603625712787801822465824386744493103532235489900647834975452449009151735132,0.222790807789597745602529502393364175579788405491111010134376700008748801799134868589023794,0.000000000165370874216221227127118300728204925502743081388418734521709493449821710041885694598640808,0.000548891291838383650411153056264931399906308814526116994243957302181864968773623651779862905,0.00000000000000212661333785116326772652286071044794310560550574905672344820853379632687441258994412114358,0.00000000705855579337176647979027627914552672355370583497847813570268772734040115666746744842696668,0.778603248504757635244215617475712301802246760175004689539496614818526460561742970996839539
0.0133400961935872324350855345362186958989264093391724238682587880777401970542938810982082158,0.115072637173262584315907162437860403137488975188189752750819228970200712241378197115642897,0.00000000000000821449731612340796634090582629221930489790279562318085603256710125015809987307686899134638,0.0000201771736044917646319625020698289936873865721596385035041768065393092752364292619951657214,0.000000000000000000000744511633146753423470488545701708906503485808960446802208384262919255048325119112452424723,0.00000000000182873520977117921434569728835647419958792720227423734925988878912594920418291499217573521,0.697421520471727523970975567306311861823653397146268645525676281192607673653596398542246995
0.0155634455591851045075997902922551452154141442290344945129685860906968965633428612812429185,0.0527082558749514493182757236491825546720756713496612602041337426463400374477588695284717039,0.0000000000000000000673255149131353357866483334639336389412709578892515143696236254028033146135051269818993224,0.000000406811506131997734510388482054571662720732851177733132452654787066832111775189865275084019,0.0000000000000000000000000000174690595562106228974349692080668654625101400920278874109566031757957272599158010484928442,0.000000000000000105556035300148851465756826017416573663440765987939321947316263551008348975261442861706332,0.612321874323858106444572148161360981531690028827733574753891790245691383681167633470364585
0.0177867949247829765801140460482915945319018791188965651576783841036535960723918414642776211,0.0214100167205887314968830908879241184951811507487148152558842891568062676920903691872931621,0.0000000000000000000000000910447896778624329872652643649774939606229105947431725276182520416245873869462625946452033,0.00000000449867927789338697197427310869578781325549603314585324721856609634897904826576954356901294,2.74715172083096099025291688527043599467128651204787278593104976356621116644637085668032971e-38,0.00000000000000000000135741480247895933133984566326351364791121747458331163019577217597370425639107838022342054,0.526950111906914919274721659871496430459709697374467148933784587472341043372277730487964409
0.0200101442903808486526283018043280438483896140087586358023881821166102955814408216473123237,0.0077123574304337534354081475221188694934253385877930227817949416524034230109617147317241391,2.03145512009922011709731655703697246735185153102986799038336306993820937154225521026138491e-32,0.0000000000272857404727589062999483440760333202020595765124787737448712570331241668660779066742097107,2.89541518804167133021660557796646362897458348811755410440880188440298827891435782915115244e-48,0.00000000000000000000000000388901268849743467240012674059346805113634483572019983376193533022512877716926961398375073,0.444492589411740551440621203994589979287869031193713612832300403081029147578708506159847366
